Source,Reliability,Bias
mediabuzz,35.44,9.67
19th-news,44.5,-10.31
60-minutes,34.26,-8.17
night-with-shannon-bream,39.06,17.08
abc-news,46.73,-4.5
abc-this-week-with-george-stephanopoulos,43.53,-7.38
abc-world-news-tonight-with-david-muir,49.67,-2.0
abe-lincoln-s-top-hat,30.25,-11.75
advocate-magazine,37.78,-15.03
agence-france-presse,48.03,-1.95
air-force-times,46.01,1.32
al-jazeera,45.6,-4.48
al-com,46.6,-1.56
alex-witt-reports,37.22,-13.78
all-in-with-chris-hayes,28.53,-17.27
alternet,24.36,-18.66
amanpour,42.78,-7.15
america-dissected,34.25,-13.73
america-first-with-sebastian-gorka-podcast,16.53,25.08
america-right-now,12.12,23.72
american-greatness,19.87,23.03
american-independent,38.49,-14.71
american-independent,38.49,-14.71
american-thinker,13.37,25.11
american-voices-with-alicia-menendez,33.44,-16.0
anderson-cooper-360,39.22,-13.27
andrea-mitchell-reports,40.33,-12.08
aol-com,44.36,-10.54
ap,48.62,-1.82
apple-news-today,44.5,-6.03
arizona-daily-star,45.91,-2.07
arkansas-democrat-gazette,46.29,0.3
armchair-expert-with-dax-shepard,37.42,-9.03
army-times,47.8,0.31
ars-technica,46.34,-2.13
aspen-times,46.32,-0.32
at-this-hour-with-kate-bolduan,35.44,-11.44
atlanta-black-star,45.68,-4.95
atlanta-journal-constitution,45.84,-3.24
axios,44.25,-4.3
axios-re-cap,42.67,-7.06
az-central,42.63,-7.43
bad-faith,37.11,-22.89
baltimore-sun,45.99,-5.25
banfield,37.81,-1.85
bannon-s-war-room,10.27,27.97
barron-s,45.98,-0.27
bbc,46.11,-2.42
bbc-world-news-america,44.56,-3.78
bearing-arms,26.98,19.28
before-it-s-news,5.19,30.15
benzinga,42.79,0.07
bet,41.34,-5.83
bgr,40.86,-3.99
big-league-politics,18.3,25.42
bill-o-reilly,21.72,25.55
billboard,40.73,-2.23
bipartisan-report,21.6,-21.58
bitch-media,33.28,-18.06
bizpac-review,24.25,19.41
black-sports-online,27.41,-6.17
bloomberg-government,47.17,-5.37
bloomberg-news,45.27,-2.9
bno,49.14,-0.51
boing-boing,39.13,-7.05
boom-bust,0.0,0.0
boston-globe,44.02,-9.81
boston-herald,40.12,10.34
breitbart,30.13,16.16
brian-kilmeade-show,24.7,18.0
bring-me-the-news,46.93,-1.98
brobible,39.59,-1.07
candace,21.9,19.72
cape-up-with-jonathan-capehart,33.89,-15.56
capitol-weekly,38.91,-2.4
cato-institute,41.17,6.2
cavuto-live,36.0,10.78
cavuto-coast-to-coast,36.78,11.11
cbn,33.34,16.05
cbs-evening-news-with-nora-o-donnell,49.22,-5.11
cbs-morning-news,47.11,-2.89
cbs-news,46.1,-3.48
cbs-sunday-morning,44.0,-5.61
cfo,45.93,-0.02
chapo-trap-house,20.83,-30.47
charleston-gazette-mail,45.43,-3.71
chicago-sun-times,46.65,-4.26
chicago-tribune,45.44,-4.4
chicks-on-the-right,24.67,18.58
chicks-on-the-right-podcast,16.71,21.8
christian-science-monitor,45.45,-2.35
christianity-today,41.92,6.26
chron-com,0.0,0.0
cleveland-com,46.85,-0.67
cnbc,46.08,-2.16
cnet,45.5,-1.31
cnn-5-things,50.33,-1.11
cnn,42.71,-8.32
cnn-newsroom-with-jim-acosta,27.52,-17.2
cnsnews,33.93,15.52
code-switch,34.75,-17.27
colorado-daily,45.38,-2.44
columbia-journalism-review,43.22,-6.69
comic-sands,31.99,-9.21
common-dreams,39.39,-17.62
conservative-review,26.69,18.7
consider-this-from-npr,44.33,-6.71
consortium-news,25.94,-19.2
consortium-news,25.94,-19.2
cosmopolitan,28.91,-13.2
counterpunch,29.5,-20.08
crooks-and-liars,25.99,-21.28
crosstalk,16.37,9.26
cuomo-prime-time,33.47,-18.0
current-affairs,33.39,-18.63
daily-beast,35.68,-13.63
daily-caller,31.52,16.67
daily-dot,36.69,-11.49
daily-herald-chicago,46.05,-0.19
daily-kos,28.81,-18.69
daily-mail,31.63,3.54
daily-signal,28.86,18.0
daily-torch,18.06,20.28
daily-wire,33.74,14.13
dallas-morning-news,44.3,-3.08
dan-abrams-live,35.67,2.89
deadline,41.65,-5.44
deadline-white-house,33.31,-18.7
deadspin,33.29,-12.84
deconstructed,32.86,-15.43
deep-state-radio,40.22,-3.22
defense-news,44.78,2.8
democracy-now,31.38,-16.48
democracy-now-tv-program,40.33,-12.56
denver-post,45.99,-3.12
deseret-news,43.99,0.78
detroit-free-press,44.08,-6.99
detroit-news,46.85,-2.84
diamond-and-silk-crystal-clear,14.33,24.5
divided-we-fall,37.33,-3.16
dollar-and-sense-podcast,42.11,-3.56
don-lemon-tonight,31.24,-19.83
e-news,39.88,0.02
early-start-with-christine-romans-and-laura-jarrett,42.33,-8.44
economic-policy-institute,42.04,-10.49
education-week,43.65,-3.74
elite-daily,34.05,-10.78
elle,36.48,-8.51
engadget,45.16,-1.59
entertainment-weekly,41.16,-2.22
erin-burnett-outfront,36.54,-10.81
esquire,27.92,-18.08
et-online,43.17,-0.15
face-the-nation,48.78,-4.44
factcheck-org,46.45,-1.98
facts-matter-with-roman-balmakov,25.72,18.53
fair,32.66,-19.36
fair-observer,36.19,-9.15
fareed-zakaria-gps,41.0,-7.81
fast-company,41.76,-7.2
fast-money,39.11,-1.44
financial-buzz,46.59,-0.03
financial-times,44.79,-3.53
firebrand-with-matt-gaetz,18.33,19.8
firing-line-with-margaret-hoover,41.0,-3.11
fiscal-times,44.85,-0.38
fivethirtyeight,43.5,-6.95
fivethirtyeight-politics,39.0,-7.95
forbes,43.36,-3.46
foreign-affairs,44.57,-6.78
foreign-policy,42.61,-2.78
fortune,43.89,-1.94
forward,40.74,-8.0
forward-with-andrew-yang,32.89,-11.11
fox-friends,32.56,21.0
fox-friends-first,34.11,13.56
fox-business,43.32,5.76
fox-news,35.76,13.51
fox-news-primetime,28.72,18.07
fox-news-rundown,42.42,7.6
fox-news-sunday-with-chris-wallace,40.02,12.78
frangela-the-final-word,18.07,-27.27
freakonomics-radio,41.92,-5.33
fresh-air,44.25,-5.81
frontline,47.89,-5.72
full-frontal-with-samantha-bee,24.61,-21.22
full-measure,41.22,6.67
gaslit-nation,19.78,-29.5
glamour,37.28,-8.75
glenn-beck,21.14,23.46
glenn-greenwald,36.42,10.91
glenn-tv,16.12,17.89
global-news,44.82,-4.36
good-morning-america,41.89,-2.78
good-news-network,44.12,-1.05
gq,38.33,-9.84
graham-allen-s-dear-america-podcast,15.78,24.0
greg-kelly-reports,19.67,22.9
hacks-on-tap,45.67,-5.22
hallie-jackson-reports,42.78,-7.33
hannity,19.72,25.67
harper-s-bazaar,43.22,-6.63
hartford-courant,48.0,-1.06
hawaii-news-now,46.38,-0.14
heavy,44.0,-2.94
high-country-news,43.16,-8.92
hill-reporter,35.62,-13.71
hodgetwins,19.0,25.33
hold-these-truths-with-dan-crenshaw,33.89,15.44
hotair,31.47,10.71
houston-chronicle,44.78,-3.73
huckabee,21.44,19.93
huffpost,39.71,-11.44
in-the-bubble-with-andy-slavitt,43.17,-2.5
in-these-times,35.06,-18.35
independent-journal-review,36.55,7.91
indianapolis-star,48.03,-1.64
infowars,13.62,27.15
inquisitr,32.46,-7.13
inside-climate-news,45.73,-9.37
inside-politics-with-abby-phillip,38.44,-9.33
inside-politics-with-john-king,38.89,-8.78
inside-story,46.17,-3.58
inside-the-hive-podcast,32.89,-16.5
insider,42.97,-5.49
intelligence-squared-us,41.89,-6.17
international-business-times,42.16,-2.86
jacobin,31.16,-21.57
jezebel,29.35,-18.93
john-bachman-now,27.37,18.7
john-solomon-reports,13.86,24.6
jose-diaz-balart-reports,42.89,-8.22
judicial-watch,23.64,23.27
junkee,38.96,-7.74
just-the-news,38.09,6.83
justice-with-judge-jeanine,17.1,25.4
kansas-city-star,43.28,-6.26
kasich-klepper,40.56,-1.44
katy-tur-reports,40.56,-11.11
la-times,43.68,-10.06
la-weekly,45.44,-3.02
laconia-daily-sun,45.36,0.4
las-vegas-review-journal,42.84,2.51
law-and-crime,45.63,-3.88
lawrence-jones-cross-country,30.89,17.25
left-right-center,42.67,-2.0
let-s-talk-elections,39.15,-6.4
levintv,16.67,24.92
liberty-nation,22.95,18.51
life-news,23.64,21.68
life-liberty-and-levin,22.22,25.13
lifesite-news,17.8,21.18
lifezette,20.63,23.38
lindell-tv,13.44,26.56
lost-debate,36.22,2.11
louder-with-crowder,10.11,30.75
lovett-or-leave-it,23.43,-24.75
mad-money,36.33,1.22
majority-54,32.44,-18.8
make-me-smart-with-kai-and-molly,41.75,-6.24
making-money-with-charles-payne,39.0,6.56
making-sense-with-sam-harris,34.25,6.86
marketplace,44.78,-3.44
marketwatch,43.55,-5.08
mashable,40.38,-9.89
mea-culpa-with-michael-cohen,32.44,-21.11
media-matters-for-america,26.44,-14.55
mediaite,39.97,-10.59
meet-the-press,42.67,-8.0
meidas-touch,26.77,-21.31
mercury-news,45.54,-3.67
miami-herald,45.68,-5.53
mic,36.4,-16.1
military-times,46.94,-0.23
milwaukee-journal-sentinel,46.96,-7.33
mintpress-news,36.05,-15.0
montana-free-press,46.56,-3.04
morning-brew,45.98,-0.11
morning-joe,38.4,-10.0
mother-jones,37.63,-15.55
msn-com,37.21,-11.4
msnbc,35.31,-14.49
mtp-daily,35.11,-15.17
mueller-she-wrote,28.0,-13.33
nasdaq,44.2,-0.26
national-catholic-register,39.1,8.55
national-enquirer,12.73,5.62
national-file,20.85,20.48
national-report,15.33,21.81
national-review,32.41,14.15
natural-news,8.08,30.4
nature,46.38,-1.27
nbc-news,45.59,-6.65
nbc-nightly-news-with-lester-holt,49.56,-5.94
nbc-today,42.0,-1.22
new-republic,34.27,-17.92
new-statesman,40.13,-7.33
new-york-daily-news,40.54,-9.11
new-york-magazine,41.46,-9.31
new-york-post,32.93,12.61
new-york-sun,31.1,13.11
news-and-guts,36.5,-12.9
newsbusters,23.08,21.83
newsday,47.69,-3.35
newser,43.85,-5.87
newsmax,30.46,15.37
newsnation-now,44.61,0.32
newsnation-prime,45.57,-0.43
newsnation-morning-in-america,44.58,-0.67
newsone,35.48,-13.33
newspunch,18.35,24.7
newsweek,38.41,-4.34
newsy,47.54,-3.19
newt-s-world,34.44,14.56
nightline,49.11,-5.06
nj-com,46.54,-1.97
no-agenda,20.67,21.25
no-lie-with-brian-tyler-cohen,32.17,-19.24
nola-com,48.15,-2.0
nowthis-news,41.25,-8.19
npr,44.45,-4.81
npr-news-now,50.27,-0.13
oan-network,25.08,16.29
observer,46.09,-5.8
occupy-democrats,25.95,-21.29
omaha-world-herald,47.14,-0.45
on-balance-with-leland-vittert,29.37,12.33
on-point,45.31,-4.13
on-the-media,43.56,-11.83
orange-county-register,48.02,-1.33
orlando-sentinel,44.99,-7.18
outnumbered,21.43,26.63
ozy,40.56,-7.4
ozy,40.56,-7.4
page-six,37.98,0.95
paint-the-trump,12.93,24.06
palmer-report,17.67,-25.77
pantsuit-politics,31.0,-15.42
part-of-the-problem,22.37,17.05
paste-magazine,35.07,-11.69
pat-gray-unleashed,17.08,23.67
patch,48.18,-4.93
pbs,47.92,-4.92
pbs-newshour,46.0,-5.17
people-power,50.17,-0.83
people-magazine,43.09,-6.86
philadelphia-inquirer,40.72,-7.84
pittsburgh-post-gazette,48.17,-0.55
pivot,33.17,-12.08
pj-media,20.81,21.76
planet-money,45.0,0.5
pod-is-a-woman,42.33,-12.0
pod-save-america,27.2,-24.69
pod-save-the-people,35.56,-13.22
pod-save-the-world,34.67,-18.87
political-gabfest,41.33,-11.75
politically-re-active-with-w-kamau-bell-hari-kondabolu,34.67,-16.67
politico,42.77,-6.66
politico-playbook-daily-briefing,42.78,-4.56
politicology,33.11,-8.33
politics-war-room-with-james-carville-al-hunt,36.11,-11.89
politicsnation-with-al-sharpton,30.67,-20.53
politicus-usa,31.52,-15.97
politifact,44.98,-3.7
popbuzz,34.33,-5.55
popsugar,35.65,-12.15
popular-information,40.25,-14.96
poynter,41.36,-7.73
prageru,23.13,18.71
propublica,46.91,-6.7
qanon-anonymous,33.89,-8.37
quartz,44.25,-5.46
quillette,37.58,9.71
radio-times,39.73,0.0
rantt-media,38.2,-15.33
rasmussen-reports,41.57,12.8
rational-security,38.44,-6.5
raw-story,32.33,-17.14
real-america,12.67,25.33
real-change-news,41.61,-9.18
real-news-network,36.79,-17.53
real-time-with-bill-maher,34.33,-9.33
realclear-politics,29.69,14.29
realclear-politics,29.69,14.29
reason,36.73,7.84
redstate,22.11,22.74
relatable-with-allie-beth-stuckey,34.56,11.89
reliable-sources,32.63,-14.97
republican-american,45.72,-1.87
reuters,47.69,-1.23
reveal,38.31,-8.93
right-wing-watch,26.97,-18.29
rob-schmitt-tonight,23.56,21.67
roll-call,46.31,-3.27
rolling-stone,26.28,-13.77
ron-paul-liberty-report,29.56,17.08
rough-translation,42.67,-9.19
rt,28.66,11.46
rt-news,28.24,0.5
rttnews,42.85,-2.37
rudy-giuliani-s-common-sense,15.42,24.59
rumble-with-michael-moore,24.95,-22.14
ruthless,34.56,11.78
sacramento-bee,45.03,-8.71
salon,33.09,-17.06
salt-lake-tribune,46.89,-2.45
san-diego-union-tribune,47.96,-0.86
san-francisco-chronicle,45.06,-6.31
saturday-agenda,23.44,21.67
save-the-nation,25.89,20.73
sciencenews,47.37,-1.86
scientific-american,43.37,-8.52
seattle-times,42.75,-6.09
seattlepi,44.82,-2.99
second-nexus,25.51,-19.7
sekulow,26.94,17.25
sf-examiner,43.35,-8.28
sfgate,45.78,-1.68
shadowproof,35.5,-23.23
skimm-this,43.78,-10.61
sky-news,0.0,0.0
slate,36.72,-14.95
smartless,35.5,-15.97
smerconish,36.6,-1.33
smithsonian-magazine,45.53,-3.77
snopes,45.2,-2.06
sojourners,38.88,-12.58
south-china-morning-post,41.9,-3.5
special-report-w-bret-baier,44.42,8.47
spicer-co,20.71,21.13
sputnik-international-news,36.83,8.46
st-louis-post-dispatch,44.73,-8.57
star-tribune-minneapolis,46.42,-3.77
stars-and-stripes,49.37,0.43
start-here,46.27,-1.4
stat-news,44.09,-2.64
state-of-the-union-with-jake-tapper-and-dana-bash,39.89,-8.33
stay-tuned-with-preet,44.89,-13.96
staying-home-with-josh-fox,31.76,-26.0
stephanie-ruhle-reports,37.33,-11.11
stinchfield,15.68,25.92
stu-does-america,28.56,18.2
stuff-you-should-know,40.89,-0.22
sun-sentinel,44.12,-6.04
sunday-night-in-america-with-trey-gowdy,35.89,11.0
sunday-today-with-willie-geist,41.89,-6.59
syracuse-post-standard,46.7,-2.87
talking-points-memo,42.48,-9.83
tampa-bay-times,46.35,-3.57
tangle,43.58,1.79
techcrunch,46.19,-0.51
teen-vogue,39.51,-16.4
tennessean,47.46,-1.94
tgp-factcheck,17.73,19.37
the-11th-hour-with-brian-williams,38.52,-17.39
the-11th-hour-with-stephanie-ruhle,35.11,-13.67
the-advocate,46.0,-4.16
the-al-franken-podcast,33.0,-21.53
the-alex-jones-show,6.67,31.67
the-alex-jones-show,6.67,31.67
the-american-conservative,32.46,13.73
the-american-prospect,35.09,-15.68
the-american-prospect,35.09,-15.68
the-american-spectator,20.57,22.84
the-andrew-klavan-show,27.44,19.75
the-argument,39.33,-11.82
the-atlantic,38.98,-9.36
the-axe-files-with-david-axelrod,42.13,-10.98
the-beat-with-ari-melber,36.1,-16.97
the-ben-ferguson-podcast,11.08,27.9
the-ben-shapiro-show,24.81,20.83
the-big-sunday-show,29.89,16.22
the-blaze,28.01,18.09
the-bottom-line,37.78,-2.07
the-breakdown-with-shaun-king,29.44,-19.67
the-briefing,41.67,-17.15
the-brilliant-idiots,28.11,-1.56
the-bulwark,34.22,-3.51
the-bulwark-podcast,35.27,-9.26
the-business-journals,46.22,-0.12
the-candace-owens-show,16.38,26.59
the-chad-prather-show,21.44,22.73
the-charlie-kirk-show,12.07,27.07
the-christian-post,39.57,10.08
the-college-fix,39.33,9.62
the-conversation,43.34,-4.55
the-cross-connection-with-tiffany-cross,30.22,-22.44
the-cut,31.67,-16.09
the-daily-beans,32.67,-18.75
the-daily,43.78,-6.33
the-daily-punch,41.22,-0.67
the-daily-show-with-trevor-noah-ears-edition,30.78,-16.5
the-damage-report-with-john-iadarola,24.82,-23.52
the-dan-bongino-show,14.37,29.96
the-david-pakman-show,39.0,-10.89
the-deal,41.88,-2.64
the-dershow,35.89,9.67
the-devin-nunes-podcast,31.89,14.44
the-dinesh-d-souza-podcast,21.81,23.67
the-dispatch,40.99,5.49
the-donlon-report,38.24,8.92
the-economist-asks,40.33,-1.78
the-economist,44.36,-1.66
the-epoch-times,20.12,19.81
the-evening-times,41.71,1.48
the-ezra-klein-show,42.08,-8.13
the-faulkner-focus,30.22,17.75
the-federalist,23.68,20.02
the-federalist,23.68,20.02
the-fifth-column,35.56,6.41
the-five,30.0,13.22
the-fourth-watch-podcast,37.56,-3.89
the-fourth-watch-podcast,37.56,-3.89
the-gateway-pundit,15.72,24.8
the-gist,34.44,-12.11
the-glenn-beck-program,14.44,29.0
the-globe-and-mail,44.95,-1.41
the-gorka-reality-check,20.26,22.56
the-grayzone,28.7,-24.01
the-guardian,43.62,-8.48
the-hartmann-report,23.61,-21.11
the-hill,43.53,-1.15
the-holy-post-podcast,33.56,-9.89
the-independent,42.64,-8.33
the-ingraham-angle,20.21,25.51
the-ingraham-angle,20.21,25.51
the-intercept,40.64,-15.18
the-jimmy-dore-show,16.58,-32.78
the-joe-rogan-experience,16.8,-1.7
the-journal-editorial-report,39.89,8.22
the-journal,49.17,-0.5
the-larry-elder-show,27.89,19.5
the-larry-kudlow-show,22.41,19.0
the-last-refuge,18.89,22.02
the-last-word-with-lawrence-o-donnell,28.21,-20.31
the-lawfare-podcast,41.33,-5.56
the-lead-with-jake-tapper,36.17,-16.12
the-libertarian,38.22,1.67
the-libertarian-republic,33.06,11.25
the-liberty-loft,20.99,18.67
the-lincoln-project,34.0,-5.44
the-lincoln-project,34.0,-5.44
the-listening-post,43.8,-3.47
the-mark-levin-show,9.49,31.5
the-mary-trump-show,20.33,-20.25
the-matt-walsh-show,18.42,23.76
the-matt-walsh-show,18.42,23.76
the-mccarthy-report,42.67,7.67
the-media-roundtable-with-dan-granger,37.11,-5.22
the-megyn-kelly-show,36.47,10.14
the-mehdi-hasan-show,33.0,-18.0
the-meidastouch-podcast,27.11,-18.42
the-michael-knowles-show,16.88,25.8
the-michael-savage-show,11.95,28.47
the-mirror,29.7,-9.72
the-moscow-times,44.43,0.04
the-mother-jones-podcast,38.89,-10.56
the-motley-fool,42.09,-0.46
the-nation,32.27,-19.03
the-new-abnormal,22.26,-25.85
the-new-american,15.67,22.56
the-new-york-times,42.92,-7.73
the-new-yorker,40.27,-12.49
the-new-yorker-radio-hour,43.69,-10.17
the-news-why-it-matters,19.27,22.83
the-news-with-shepard-smith,44.28,-9.3
the-next-revolution-with-steve-hilton,23.39,21.0
the-npr-politics-podcast,41.67,-8.03
the-oregonian,47.49,-4.35
the-politicsgirl-podcast,23.44,-18.87
the-president-s-inbox,44.44,-1.67
the-progressive,34.95,-18.3
the-rachel-maddow-show,37.94,-16.75
the-rachel-maddow-show,37.94,-16.75
the-real-story,46.89,-1.44
the-realignment,39.89,1.33
the-reason-roundtable,38.92,6.95
the-reidout,24.52,-20.52
the-remnant,38.67,6.22
the-right-scoop,21.06,22.53
the-root,30.17,-19.24
the-rubin-report,21.85,23.33
the-sean-hannity-show,16.65,23.44
the-sharyl-attkisson-podcast,38.11,6.28
the-situation-room,42.62,-11.63
the-skimm,43.23,-7.11
the-smerconish-podcast,38.83,-3.76
the-story-with-martha-maccallum,37.44,12.22
the-stranger,36.49,-18.39
the-stream-tv-show,42.78,-1.0
the-stream-tv-show,42.78,-1.0
the-sunday-show-with-jonathan-capehart,33.33,-16.56
the-takeout,48.22,-1.56
the-trace,45.75,-6.64
the-trey-gowdy-podcast,43.11,6.44
the-verge,44.26,-6.09
the-view,31.44,-10.22
the-village-voice,43.02,-7.91
the-village-voice,43.02,-7.91
the-water-cooler-with-david-brody,24.59,21.07
the-weather-channel,49.06,-0.72
the-weeds,41.11,-8.33
the-week,34.67,-11.76
the-week-on-the-hill,43.78,-0.33
the-world-according-to-jesse,0.0,0.0
the-world-and-everything-in-it,41.0,10.17
the-wrap,36.81,-6.78
the-young-turks,25.05,-27.14
thegrio,39.49,-11.25
this-american-life,42.89,-9.22
tim-pool-daily-show,15.91,22.17
time-magazine,43.08,-7.0
time-s-the-brief,42.78,-5.61
tipping-point,15.03,25.17
tmz,35.57,-11.33
today-in-focus,41.78,-3.67
today-with-hoda-jenna,33.56,-0.56
today-explained,43.75,-6.86
townhall,24.39,20.32
trending-politics,23.05,17.45
trib-live,47.83,-1.29
trish-intel-podcast,15.82,25.33
true-pundit,37.42,8.05
truthout,29.92,-20.17
tucker-carlson-tonight,20.21,23.38
tucker-carlson-tonight,20.21,23.38
turley-talks,23.06,22.0
turning-point-usa,20.56,17.09
turning-point-usa,20.56,17.09
twitchy,17.66,21.53
tyt-the-conversation,32.67,-24.31
undistracted-with-brittany-packnett-cunningham,32.11,-15.67
unfiltered-with-dan-bongino,18.89,22.11
unlocking-us-with-brene-brown,30.44,-21.8
up-first,47.92,-7.57
upfront,37.0,-10.67
upi,47.53,-1.21
uproxx,35.33,-13.62
upworthy,39.98,-3.94
us-news-and-world-report,45.64,-3.82
us-weekly,40.3,0.0
usa-today,45.23,-4.9
useful-idiots,34.67,-16.17
vanity-fair,33.67,-14.18
variety,42.01,-6.39
verdict-with-ted-cruz,27.17,19.5
veterans-today,14.68,-18.53
vice,38.71,-10.41
vogue,39.86,-11.74
voice-of-america,46.89,-3.63
vox,40.18,-10.23
wait-wait-don-t-tell-me,33.58,-4.43
wake-up-america,16.0,21.0
wall-street-journal,44.85,5.45
washington-blade,42.71,-7.49
washington-examiner,32.9,13.43
washington-free-beacon,36.3,13.36
washington-monthly,30.19,-16.29
washington-post,39.82,-8.68
washington-times,36.07,12.37
washington-week,39.78,-10.89
washington-s-top-news,46.44,-0.32
washingtonian,42.98,-2.62
watters-world,29.33,19.0
watts-up-with-that,25.52,13.76
weasel-zippers,25.38,13.42
western-journal,29.44,19.69
what-a-day,35.67,-17.92
what-next,42.22,-7.44
what-the-hell-is-going-on,34.56,11.56
what-s-news,49.0,0.44
white-flag-with-joe-walsh,34.11,-11.11
who-what-why,36.22,-12.85
why-is-this-happening-with-chris-hayes,43.33,-12.56
wired,44.35,-5.26
witness,49.56,-8.22
wnd,21.91,20.6
wonkette,17.44,-26.59
world-news-roundup,46.42,-1.5
world-socialist-web-site,31.94,-25.76
worldtruth-tv,8.52,25.64
worldtruth-tv,8.52,25.64
x22-report,7.9,33.48
yahoo-com,42.45,-6.69
yes-magazine,39.68,-14.75
you-and-me-both-with-hillary-clinton,31.11,-13.11
your-money-briefing,44.83,-0.25
your-world-with-neil-cavuto,37.89,14.33
zerohedge,24.7,15.56
